CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Churned
619,France,Female,42,2,0.0,1,Yes,Yes,101348.88,Churned
608,Spain,Female,41,1,83807.86,1,No,Yes,112542.58,Not Churned
502,France,Female,42,8,159660.8,3,Yes,No,113931.57,Churned
699,France,Female,39,1,0.0,2,No,No,93826.63,Not Churned
850,Spain,Female,43,2,125510.82,1,Yes,Yes,79084.1,Not Churned
645,Spain,Male,44,8,113755.78,2,Yes,No,149756.71,Churned
822,France,Male,50,7,0.0,2,Yes,Yes,10062.8,Not Churned
376,Germany,Female,29,4,115046.74,4,Yes,No,119346.88,Churned
501,France,Male,44,4,142051.07,2,No,Yes,74940.5,Not Churned
684,France,Male,27,2,134603.88,1,Yes,Yes,71725.73,Not Churned
528,France,Male,31,6,102016.72,2,No,No,80181.12,Not Churned
497,Spain,Male,24,3,0.0,2,Yes,No,76390.01,Not Churned
476,France,Female,34,10,0.0,2,Yes,No,26260.98,Not Churned
549,France,Female,25,5,0.0,2,No,No,190857.79,Not Churned
635,Spain,Female,35,7,0.0,2,Yes,Yes,65951.65,Not Churned
616,Germany,Male,45,3,143129.41,2,No,Yes,64327.26,Not Churned
653,Germany,Male,58,1,132602.88,1,Yes,No,5097.67,Churned
549,Spain,Female,24,9,0.0,2,Yes,Yes,14406.41,Not Churned
587,Spain,Male,45,6,0.0,1,No,No,158684.81,Not Churned
726,France,Female,24,6,0.0,2,Yes,Yes,54724.03,Not Churned
732,France,Male,41,8,0.0,2,Yes,Yes,170886.17,Not Churned
636,Spain,Female,32,8,0.0,2,Yes,No,138555.46,Not Churned
510,Spain,Female,38,4,0.0,1,Yes,No,118913.53,Churned
669,France,Male,46,3,0.0,2,No,Yes,8487.75,Not Churned
846,France,Female,38,5,0.0,1,Yes,Yes,187616.16,Not Churned
577,France,Male,25,3,0.0,2,No,Yes,124508.29,Not Churned
756,Germany,Male,36,2,136815.64,1,Yes,Yes,170041.95,Not Churned
571,France,Male,44,9,0.0,2,No,No,38433.35,Not Churned
574,Germany,Female,43,3,141349.43,1,Yes,Yes,100187.43,Not Churned
411,France,Male,29,0,59697.17,2,Yes,Yes,53483.21,Not Churned
591,Spain,Female,39,3,0.0,3,Yes,No,140469.38,Churned
533,France,Male,36,7,85311.7,1,No,Yes,156731.91,Not Churned
553,Germany,Male,41,9,110112.54,2,No,No,81898.81,Not Churned
520,Spain,Female,42,6,0.0,2,Yes,Yes,34410.55,Not Churned
722,Spain,Female,29,9,0.0,2,Yes,Yes,142033.07,Not Churned
475,France,Female,45,0,134264.04,1,Yes,No,27822.99,Churned
490,Spain,Male,31,3,145260.23,1,No,Yes,114066.77,Not Churned
804,Spain,Male,33,7,76548.6,1,No,Yes,98453.45,Not Churned
850,France,Male,36,7,0.0,1,Yes,Yes,40812.9,Not Churned
582,Germany,Male,41,6,70349.48,2,No,Yes,178074.04,Not Churned
472,Spain,Male,40,4,0.0,1,Yes,No,70154.22,Not Churned
465,France,Female,51,8,122522.32,1,No,No,181297.65,Churned
556,France,Female,61,2,117419.35,1,Yes,Yes,94153.83,Not Churned
834,France,Female,49,2,131394.56,1,No,No,194365.76,Churned
660,Spain,Female,61,5,155931.11,1,Yes,Yes,158338.39,Not Churned
776,Germany,Female,32,4,109421.13,2,Yes,Yes,126517.46,Not Churned
829,Germany,Female,27,9,112045.67,1,Yes,Yes,119708.21,Churned
637,Germany,Female,39,9,137843.8,1,Yes,Yes,117622.8,Churned
550,Germany,Male,38,2,103391.38,1,No,Yes,90878.13,Not Churned
776,Germany,Female,37,2,103769.22,2,Yes,No,194099.12,Not Churned
698,Germany,Male,44,10,116363.37,2,Yes,No,198059.16,Not Churned
585,Germany,Male,36,5,146050.97,2,No,No,86424.57,Not Churned
788,France,Female,33,5,0.0,2,No,No,116978.19,Not Churned
655,Germany,Male,41,8,125561.97,1,No,No,164040.94,Churned
601,Germany,Male,42,1,98495.72,1,Yes,No,40014.76,Churned
619,France,Male,43,1,125211.92,1,Yes,Yes,113410.49,Not Churned
656,France,Male,45,5,127864.4,1,Yes,No,87107.57,Not Churned
725,Germany,Male,19,0,75888.2,1,No,No,45613.75,Not Churned
511,Spain,Female,66,4,0.0,1,Yes,No,1643.11,Churned
